seed,previous_layer,layer,transition,accuracy,delta_euclidean_knn_loss,delta_geodesic_knn_loss,delta_distance_loss,delta_arc_r2_gain,delta_first_pc_gain,previous_euclidean_knn,current_euclidean_knn,previous_geodesic_knn,current_geodesic_knn,previous_distance_corr,current_distance_corr,previous_arc_r2,current_arc_r2,scheme_label
10,input,hidden_1,input -> hidden_1,0.91,0.0556333333333332,0.00996666666666668,0.015429012599462388,7.982295330277722e-06,-0.058811843395233154,1.0,0.9443666666666668,0.49069999999999997,0.4807333333333333,1.0,0.9845709874005376,0.998835409970175,0.9988433922655052,intrinsic_arc
10,hidden_1,hidden_2,hidden_1 -> hidden_2,0.91,0.04473333333333329,0.012399999999999967,0.020801292233518676,-6.0220232580121547e-05,-0.01957249641418457,0.9443666666666668,0.8996333333333335,0.4807333333333333,0.4683333333333333,0.9845709874005376,0.9637696951670189,0.9988433922655052,0.9987831720329251,intrinsic_arc
10,hidden_2,hidden_3,hidden_2 -> hidden_3,0.91,0.02883333333333349,0.00326666666666664,0.0506644701062936,-0.0004117784144149761,0.021026670932769775,0.8996333333333335,0.8708,0.4683333333333333,0.4650666666666667,0.9637696951670189,0.9131052250607253,0.9987831720329251,0.9983713936185101,intrinsic_arc
10,hidden_3,logits,hidden_3 -> logits,0.91,0.04496666666666671,0.013633333333333386,0.06447783690552733,-0.00025796885859874497,0.09875655174255371,0.8708,0.8258333333333333,0.4650666666666667,0.4514333333333333,0.9131052250607253,0.848627388155198,0.9983713936185101,0.9981134247599114,intrinsic_arc
1,input,hidden_1,input -> hidden_1,0.8373333333333334,0.09839999999999993,-0.01596666666666663,0.04559951886085767,-2.8760765358626372e-05,0.04145622253417969,1.0,0.9016000000000001,0.49533333333333335,0.5113,0.9999999999999999,0.9544004811391422,0.9989333737356624,0.9989046129703038,observed_y
1,hidden_1,hidden_2,hidden_1 -> hidden_2,0.8373333333333334,0.4174333333333334,0.15149999999999997,0.2477371386335211,-0.0006996272403423376,0.3235940933227539,0.9016000000000001,0.4841666666666667,0.5113,0.3598,0.9544004811391422,0.7066633425056211,0.9989046129703038,0.9982049857299614,observed_y
1,hidden_2,hidden_3,hidden_2 -> hidden_3,0.8373333333333334,0.21090000000000003,0.1628333333333333,0.011973990948005109,-0.2897466082068906,-0.05252838134765625,0.4841666666666667,0.27326666666666666,0.3598,0.1969666666666667,0.7066633425056211,0.694689351557616,0.9982049857299614,0.7084583775230708,observed_y
1,hidden_3,logits,hidden_3 -> logits,0.8373333333333334,0.031266666666666665,0.02496666666666672,-0.001464692006418411,-0.1362418816275437,0.019020140171051025,0.27326666666666666,0.242,0.1969666666666667,0.172,0.694689351557616,0.6961540435640344,0.7084583775230708,0.5722164958955271,observed_y
2,input,hidden_1,input -> hidden_1,0.8686666666666667,0.1286666666666667,-0.019899999999999918,0.07040759300212773,-2.9119383535225474e-05,0.09604471921920776,1.0,0.8713333333333333,0.4968,0.5166999999999999,1.0,0.9295924069978723,0.9987367619702427,0.9987076425867075,observed_y
2,hidden_1,hidden_2,hidden_1 -> hidden_2,0.8686666666666667,0.37146666666666667,0.14316666666666655,0.23188358969562572,-0.000537409615241291,0.2545396089553833,0.8713333333333333,0.4998666666666666,0.5166999999999999,0.3735333333333334,0.9295924069978723,0.6977088173022465,0.9987076425867075,0.9981702329714662,observed_y
2,hidden_2,hidden_3,hidden_2 -> hidden_3,0.8686666666666667,0.18846666666666662,0.14140000000000005,0.02612407015343332,-0.06397324119537307,-0.113483726978302,0.4998666666666666,0.3114,0.3735333333333334,0.23213333333333333,0.6977088173022465,0.6715847471488132,0.9981702329714662,0.9341969917760932,observed_y
2,hidden_3,logits,hidden_3 -> logits,0.8686666666666667,0.024400000000000033,0.02009999999999998,0.005821200848195596,-0.0324374114236502,-0.015232264995574951,0.3114,0.287,0.23213333333333333,0.21203333333333335,0.6715847471488132,0.6657635463006176,0.9341969917760932,0.901759580352443,observed_y
3,input,hidden_1,input -> hidden_1,0.8613333333333333,0.14639999999999997,-0.017799999999999983,0.09140977927886329,3.114528834835539e-08,0.10286027193069458,1.0,0.8536,0.4909666666666667,0.5087666666666667,1.0,0.9085902207211367,0.9988824500129572,0.9988824811582455,observed_y
3,hidden_1,hidden_2,hidden_1 -> hidden_2,0.8613333333333333,0.41446666666666665,0.1818333333333334,0.21507018436981917,-0.0007934277019429059,0.18083757162094116,0.8536,0.4391333333333334,0.5087666666666667,0.3269333333333333,0.9085902207211367,0.6935200363513175,0.9988824811582455,0.9980890534563026,observed_y
3,hidden_2,hidden_3,hidden_2 -> hidden_3,0.8613333333333333,0.14720000000000005,0.11219999999999994,0.04034912277058966,-0.16301536311946507,-0.16405344009399414,0.4391333333333334,0.2919333333333333,0.3269333333333333,0.21473333333333336,0.6935200363513175,0.6531709135807279,0.9980890534563026,0.8350736903368375,observed_y
3,hidden_3,logits,hidden_3 -> logits,0.8613333333333333,0.011033333333333284,0.008033333333333365,0.052613604470310826,-0.18414535525326903,-0.10023444890975952,0.2919333333333333,0.28090000000000004,0.21473333333333336,0.2067,0.6531709135807279,0.600557309110417,0.8350736903368375,0.6509283350835685,observed_y
