seed,previous_layer,layer,transition,accuracy,delta_euclidean_knn_loss,delta_geodesic_knn_loss,delta_distance_loss,delta_arc_r2_gain,delta_first_pc_gain,previous_euclidean_knn,current_euclidean_knn,previous_geodesic_knn,current_geodesic_knn,previous_distance_corr,current_distance_corr,previous_arc_r2,current_arc_r2
"(8,)",hidden_2,hidden_3,hidden_2 -> hidden_3,0.963,0.007533333333333059,0.002066666666666772,0.03465506639631344,0.08111301290330597,0.05926269292831421,0.9565666666666666,0.9490333333333335,0.8557333333333335,0.8536666666666667,0.901382571242624,0.8667275048463106,0.8231952481133858,0.9043082610166918
"(8,)",hidden_3,logits,hidden_3 -> logits,0.963,0.007500000000000062,0.0023999999999999577,0.018154179366223544,-0.05483026887659481,0.04844242334365845,0.9490333333333335,0.9415333333333334,0.8536666666666667,0.8512666666666667,0.8667275048463106,0.848573325480087,0.9043082610166918,0.849477992140097
"(9,)",input,hidden_1,input -> hidden_1,0.9653333333333334,0.023799999999999932,0.0016333333333333755,0.07384317220550485,0.5226981695606784,0.005622923374176025,1.0,0.9762000000000001,0.8626,0.8609666666666667,1.0,0.9261568277944952,0.11923761502945696,0.6419357845901353
"(9,)",hidden_1,hidden_2,hidden_1 -> hidden_2,0.9653333333333334,0.018833333333333258,0.002866666666666573,0.06984943419589495,0.1981553145007252,0.016035735607147217,0.9762000000000001,0.9573666666666668,0.8609666666666667,0.8581000000000001,0.9261568277944952,0.8563073935986002,0.6419357845901353,0.8400910990908605
"(9,)",hidden_2,hidden_3,hidden_2 -> hidden_3,0.9653333333333334,0.0010333333333334416,0.0006333333333333746,0.014805397206739346,0.00048806989575478354,0.01498788595199585,0.9573666666666668,0.9563333333333334,0.8581000000000001,0.8574666666666667,0.8563073935986002,0.8415019963918609,0.8400910990908605,0.8405791689866153
"(9,)",hidden_3,logits,hidden_3 -> logits,0.9653333333333334,0.003933333333333233,0.0009666666666666712,0.005889843466131972,-0.05995965808294901,-0.008707761764526367,0.9563333333333334,0.9524000000000001,0.8574666666666667,0.8565,0.8415019963918609,0.8356121529257289,0.8405791689866153,0.7806195109036663
"(10,)",input,hidden_1,input -> hidden_1,0.953,0.03083333333333338,0.0022999999999998577,0.10047574351188693,0.5516509976126571,-0.016214370727539062,1.0,0.9691666666666666,0.8502333333333333,0.8479333333333334,1.0,0.8995242564881131,0.1578381180994659,0.709489115712123
"(10,)",hidden_1,hidden_2,hidden_1 -> hidden_2,0.953,0.01976666666666671,0.007333333333333414,0.07172567233923688,0.19242729243011092,0.051963210105895996,0.9691666666666666,0.9493999999999999,0.8479333333333334,0.8406,0.8995242564881131,0.8277985841488762,0.709489115712123,0.901916408142234
"(10,)",hidden_2,hidden_3,hidden_2 -> hidden_3,0.953,-0.007333333333333414,-0.0018666666666667941,-0.0016708996014878075,0.035942648994067294,-0.06212806701660156,0.9493999999999999,0.9567333333333333,0.8406,0.8424666666666668,0.8277985841488762,0.829469483750364,0.901916408142234,0.9378590571363012
"(10,)",hidden_3,logits,hidden_3 -> logits,0.953,-0.005033333333333223,-0.0006333333333332636,0.009057270912026572,-0.019683988261083418,0.021870911121368408,0.9567333333333333,0.9617666666666665,0.8424666666666668,0.8431000000000001,0.829469483750364,0.8204122128383374,0.9378590571363012,0.9181750688752178
