layer,euclidean_knn,geodesic_knn_preservation,distance_correlation,first_pc_variance,first_2pc_variance,components_95,arc_r2,seed,accuracy,hidden_dims,parameter_count,scheme_label,target_scheme
hidden_2,0.4391333333333334,0.3269333333333333,0.6935200363513175,0.8990065455436707,0.9934252500534058,2,0.9980890534563026,3,0.8613333333333333,"(64, 64, 32)",7488,observed_y,y_bins
hidden_3,0.2919333333333333,0.21473333333333336,0.6531709135807279,0.7349531054496765,0.9841459393501282,2,0.8350736903368375,3,0.8613333333333333,"(64, 64, 32)",7488,observed_y,y_bins
logits,0.28090000000000004,0.2067,0.600557309110417,0.634718656539917,0.9901883006095886,2,0.6509283350835685,3,0.8613333333333333,"(64, 64, 32)",7488,observed_y,y_bins
input,1.0,0.5025666666666666,1.0,0.6049712300300598,1.0,2,0.9988221684537607,4,0.885,"(64, 64, 32)",7488,observed_y,y_bins
hidden_1,0.8448333333333333,0.524,0.9078775405163614,0.7094891667366028,0.8910446166992188,4,0.9988165637237467,4,0.885,"(64, 64, 32)",7488,observed_y,y_bins
hidden_2,0.42813333333333337,0.3304666666666667,0.6804071915786014,0.8534542918205261,0.9944922924041748,2,0.9982027378440307,4,0.885,"(64, 64, 32)",7488,observed_y,y_bins
hidden_3,0.2542,0.1915666666666667,0.5694424869786255,0.6184977293014526,0.9786520600318909,2,0.7054244911933374,4,0.885,"(64, 64, 32)",7488,observed_y,y_bins
logits,0.2189333333333333,0.16673333333333334,0.3694941813725804,0.7909095287322998,0.9883612990379333,2,0.5662587277037623,4,0.885,"(64, 64, 32)",7488,observed_y,y_bins
input,1.0,0.4928666666666666,1.0,0.6008291840553284,1.0,2,0.9988845609795299,5,0.8983333333333333,"(64, 64, 32)",7488,observed_y,y_bins
hidden_1,0.9088,0.5069,0.9743882480625237,0.5784956216812134,0.8686889410018921,3,0.998943023847454,5,0.8983333333333333,"(64, 64, 32)",7488,observed_y,y_bins
hidden_2,0.511,0.377,0.7041542315333276,0.9127810597419739,0.9918124675750732,2,0.9987740082101411,5,0.8983333333333333,"(64, 64, 32)",7488,observed_y,y_bins
hidden_3,0.30533333333333335,0.22480000000000003,0.6810797956481072,0.8350909948348999,0.9912350177764893,2,0.7682305912971161,5,0.8983333333333333,"(64, 64, 32)",7488,observed_y,y_bins
logits,0.26636666666666664,0.19573333333333334,0.6780273792023734,0.8276293873786926,0.9967069625854492,2,0.4475819569892092,5,0.8983333333333333,"(64, 64, 32)",7488,observed_y,y_bins
input,1.0,0.4981333333333334,1.0,0.5751194953918457,1.0,2,0.9988391626704396,6,0.8823333333333333,"(64, 64, 32)",7488,observed_y,y_bins
hidden_1,0.8852000000000001,0.5134666666666667,0.9462572086486114,0.6483557224273682,0.8977912664413452,3,0.9988404996113479,6,0.8823333333333333,"(64, 64, 32)",7488,observed_y,y_bins
hidden_2,0.4826,0.3612,0.704860636233361,0.970869243144989,0.9949710369110107,1,0.9983987967962559,6,0.8823333333333333,"(64, 64, 32)",7488,observed_y,y_bins
hidden_3,0.3149666666666667,0.23703333333333335,0.6937765218326198,0.9368476867675781,0.9945958852767944,2,0.9215938958675693,6,0.8823333333333333,"(64, 64, 32)",7488,observed_y,y_bins
logits,0.27913333333333334,0.20806666666666668,0.6984036541116799,0.9648964405059814,0.9978700876235962,1,0.8589696120807552,6,0.8823333333333333,"(64, 64, 32)",7488,observed_y,y_bins
input,1.0,0.4988,1.0,0.604983925819397,1.0,2,0.9987731837459732,7,0.8373333333333334,"(64, 64, 32)",7488,observed_y,y_bins
hidden_1,0.8645666666666667,0.5182333333333333,0.9292023723064,0.6907709836959839,0.8997610807418823,3,0.9987625151925471,7,0.8373333333333334,"(64, 64, 32)",7488,observed_y,y_bins
hidden_2,0.4876666666666667,0.3693666666666666,0.7030278512435932,0.9495722055435181,0.9948894381523132,2,0.9984091977683888,7,0.8373333333333334,"(64, 64, 32)",7488,observed_y,y_bins
hidden_3,0.2857333333333333,0.2152,0.6827377317479913,0.856617271900177,0.9878444671630859,2,0.9171613372448606,7,0.8373333333333334,"(64, 64, 32)",7488,observed_y,y_bins
logits,0.25103333333333333,0.1886,0.6823519484862628,0.870940089225769,0.9948143362998962,2,0.4733205488735477,7,0.8373333333333334,"(64, 64, 32)",7488,observed_y,y_bins
input,1.0,0.4913,1.0,0.5854165554046631,1.0,2,0.9986898536838962,8,0.8576666666666667,"(64, 64, 32)",7488,observed_y,y_bins
hidden_1,0.8707000000000001,0.5110666666666667,0.9433391207767159,0.645817756652832,0.894027590751648,4,0.9987313207627568,8,0.8576666666666667,"(64, 64, 32)",7488,observed_y,y_bins
hidden_2,0.4538999999999999,0.34626666666666667,0.7030303335540743,0.9274229407310486,0.9937165379524231,2,0.9975718224250018,8,0.8576666666666667,"(64, 64, 32)",7488,observed_y,y_bins
hidden_3,0.2705333333333334,0.20340000000000003,0.6768551615246196,0.8109279870986938,0.9774339199066162,2,0.8587804080357464,8,0.8576666666666667,"(64, 64, 32)",7488,observed_y,y_bins
logits,0.25056666666666666,0.187,0.6668295440797546,0.7700849175453186,0.9859542846679688,2,0.6034099984561925,8,0.8576666666666667,"(64, 64, 32)",7488,observed_y,y_bins
input,1.0,0.49866666666666665,1.0,0.5844352841377258,1.0,2,0.9986532598941781,9,0.836,"(64, 64, 32)",7488,observed_y,y_bins
hidden_1,0.8633666666666668,0.5198333333333334,0.9371839359052024,0.668203592300415,0.891318142414093,3,0.9986713207250123,9,0.836,"(64, 64, 32)",7488,observed_y,y_bins
hidden_2,0.47086666666666666,0.3669333333333334,0.7043448329296847,0.9598152041435242,0.99595707654953,1,0.9980306339972739,9,0.836,"(64, 64, 32)",7488,observed_y,y_bins
hidden_3,0.31393333333333334,0.24059999999999998,0.6874422207369084,0.8705361485481262,0.982822835445404,2,0.8627999423442143,9,0.836,"(64, 64, 32)",7488,observed_y,y_bins
logits,0.3070333333333333,0.23423333333333335,0.6880964375401273,0.8854477405548096,0.9915071129798889,2,0.7928625030768013,9,0.836,"(64, 64, 32)",7488,observed_y,y_bins
input,1.0,0.49069999999999997,1.0,0.5856068730354309,1.0,2,0.998835409970175,10,0.8533333333333334,"(64, 64, 32)",7488,observed_y,y_bins
hidden_1,0.8808666666666668,0.5092333333333333,0.9510071987030241,0.6274898052215576,0.8873475790023804,4,0.9988247495556317,10,0.8533333333333334,"(64, 64, 32)",7488,observed_y,y_bins
hidden_2,0.47519999999999996,0.3541666666666667,0.6866992164686461,0.9003952145576477,0.9939281940460205,2,0.9980767011021413,10,0.8533333333333334,"(64, 64, 32)",7488,observed_y,y_bins
hidden_3,0.36143333333333333,0.2675666666666667,0.6505859524829803,0.7552943229675293,0.9808288812637329,2,0.9542529409918554,10,0.8533333333333334,"(64, 64, 32)",7488,observed_y,y_bins
logits,0.3343333333333333,0.24613333333333332,0.6356528357864102,0.7484956979751587,0.9871291518211365,2,0.9267319922957269,10,0.8533333333333334,"(64, 64, 32)",7488,observed_y,y_bins
